name	version	license	license_source
adler2	2.0.1	0BSD OR MIT OR Apache-2.0	vendor/adler2-2.0.1/Cargo.toml
aho-corasick	1.1.5	Unlicense OR MIT	vendor/aho-corasick-1.1.5/Cargo.toml
anstream	1.0.0	MIT OR Apache-2.0	vendor/anstream-1.0.0/Cargo.toml
anstyle	1.0.14	MIT OR Apache-2.0	vendor/anstyle-1.0.14/Cargo.toml
anstyle-parse	1.0.0	MIT OR Apache-2.0	vendor/anstyle-parse-1.0.0/Cargo.toml
anstyle-query	1.1.5	MIT OR Apache-2.0	vendor/anstyle-query-1.1.5/Cargo.toml
anstyle-wincon	3.0.8	MIT OR Apache-2.0	vendor/anstyle-wincon-3.0.8/Cargo.toml
anyhow	1.0.104	MIT OR Apache-2.0	vendor/anyhow-1.0.104/Cargo.toml
arrayref	0.3.9	BSD-2-Clause	vendor/arrayref-0.3.9/Cargo.toml
arrayvec	0.7.8	MIT OR Apache-2.0	vendor/arrayvec-0.7.8/Cargo.toml
async-broadcast	0.7.2	MIT OR Apache-2.0	vendor/async-broadcast-0.7.2/Cargo.toml
async-channel	2.3.1	Apache-2.0 OR MIT	vendor/async-channel-2.3.1/Cargo.toml
async-executor	1.13.1	Apache-2.0 OR MIT	vendor/async-executor-1.13.1/Cargo.toml
async-fs	2.1.2	Apache-2.0 OR MIT	vendor/async-fs-2.1.2/Cargo.toml
async-io	2.4.0	Apache-2.0 OR MIT	vendor/async-io-2.4.0/Cargo.toml
async-lock	3.4.0	Apache-2.0 OR MIT	vendor/async-lock-3.4.0/Cargo.toml
async-process	2.3.0	Apache-2.0 OR MIT	vendor/async-process-2.3.0/Cargo.toml
async-recursion	1.1.1	MIT OR Apache-2.0	vendor/async-recursion-1.1.1/Cargo.toml
async-signal	0.2.10	Apache-2.0 OR MIT	vendor/async-signal-0.2.10/Cargo.toml
async-task	4.7.1	Apache-2.0 OR MIT	vendor/async-task-4.7.1/Cargo.toml
async-trait	0.1.88	MIT OR Apache-2.0	vendor/async-trait-0.1.88/Cargo.toml
atomic-waker	1.1.2	Apache-2.0 OR MIT	vendor/atomic-waker-1.1.2/Cargo.toml
autocfg	1.5.1	Apache-2.0 OR MIT	vendor/autocfg-1.5.1/Cargo.toml
bitflags	2.13.1	MIT OR Apache-2.0	vendor/bitflags-2.13.1/Cargo.toml
block-buffer	0.10.4	MIT OR Apache-2.0	vendor/block-buffer-0.10.4/Cargo.toml
blocking	1.6.1	Apache-2.0 OR MIT	vendor/blocking-1.6.1/Cargo.toml
bytemuck	1.25.2	Zlib OR Apache-2.0 OR MIT	vendor/bytemuck-1.25.2/Cargo.toml
bytemuck_derive	1.12.1	Zlib OR Apache-2.0 OR MIT	vendor/bytemuck_derive-1.12.1/Cargo.toml
calloop	0.14.4	MIT	vendor/calloop-0.14.4/Cargo.toml
calloop-wayland-source	0.4.1	MIT	vendor/calloop-wayland-source-0.4.1/Cargo.toml
cc	1.4.5	MIT OR Apache-2.0	vendor/cc-1.4.5/Cargo.toml
cfg-if	1.0.4	MIT OR Apache-2.0	vendor/cfg-if-1.0.4/Cargo.toml
cfg_aliases	0.2.1	MIT	vendor/cfg_aliases-0.2.1/Cargo.toml
clap	4.6.6	MIT OR Apache-2.0	vendor/clap-4.6.6/Cargo.toml
clap_builder	4.6.6	MIT OR Apache-2.0	vendor/clap_builder-4.6.6/Cargo.toml
clap_derive	4.6.4	MIT OR Apache-2.0	vendor/clap_derive-4.6.4/Cargo.toml
clap_lex	1.1.0	MIT OR Apache-2.0	vendor/clap_lex-1.1.0/Cargo.toml
colorchoice	1.0.5	MIT OR Apache-2.0	vendor/colorchoice-1.0.5/Cargo.toml
concurrent-queue	2.5.0	Apache-2.0 OR MIT	vendor/concurrent-queue-2.5.0/Cargo.toml
core_maths	0.1.1	MIT	vendor/core_maths-0.1.1/Cargo.toml
cosmic-text	0.19.0	MIT OR Apache-2.0	vendor/cosmic-text-0.19.0/Cargo.toml
cpufeatures	0.2.17	MIT OR Apache-2.0	vendor/cpufeatures-0.2.17/Cargo.toml
crc32fast	1.5.2	MIT OR Apache-2.0	vendor/crc32fast-1.5.2/Cargo.toml
crossbeam-utils	0.8.23	MIT OR Apache-2.0	vendor/crossbeam-utils-0.8.23/Cargo.toml
crypto-common	0.1.7	MIT OR Apache-2.0	vendor/crypto-common-0.1.7/Cargo.toml
cursor-icon	1.2.0	MIT OR Apache-2.0 OR Zlib	vendor/cursor-icon-1.2.0/Cargo.toml
digest	0.10.7	MIT OR Apache-2.0	vendor/digest-0.10.7/Cargo.toml
downcast-rs	1.2.1	MIT/Apache-2.0	vendor/downcast-rs-1.2.1/Cargo.toml
endi	1.1.0	MIT	vendor/endi-1.1.0/Cargo.toml
enumflags2	0.7.11	MIT OR Apache-2.0	vendor/enumflags2-0.7.11/Cargo.toml
enumflags2_derive	0.7.11	MIT OR Apache-2.0	vendor/enumflags2_derive-0.7.11/Cargo.toml
equivalent	1.0.2	Apache-2.0 OR MIT	vendor/equivalent-1.0.2/Cargo.toml
errno	0.3.14	MIT OR Apache-2.0	vendor/errno-0.3.14/Cargo.toml
event-listener	5.4.0	Apache-2.0 OR MIT	vendor/event-listener-5.4.0/Cargo.toml
event-listener-strategy	0.5.4	Apache-2.0 OR MIT	vendor/event-listener-strategy-0.5.4/Cargo.toml
fastrand	2.5.0	Apache-2.0 OR MIT	vendor/fastrand-2.5.0/Cargo.toml
fdeflate	0.3.7	MIT OR Apache-2.0	vendor/fdeflate-0.3.7/Cargo.toml
find-msvc-tools	0.1.12	MIT OR Apache-2.0	vendor/find-msvc-tools-0.1.12/Cargo.toml
flate2	1.1.10	MIT OR Apache-2.0	vendor/flate2-1.1.10/Cargo.toml
font-types	0.11.3	MIT OR Apache-2.0	vendor/font-types-0.11.3/Cargo.toml
font-types	0.12.5	MIT OR Apache-2.0	vendor/font-types-0.12.5/Cargo.toml
fontconfig-parser	0.5.8	MIT	vendor/fontconfig-parser-0.5.8/Cargo.toml
fontdb	0.23.0	MIT	vendor/fontdb-0.23.0/Cargo.toml
futures-core	0.3.33	MIT OR Apache-2.0	vendor/futures-core-0.3.33/Cargo.toml
futures-io	0.3.33	MIT OR Apache-2.0	vendor/futures-io-0.3.33/Cargo.toml
futures-lite	2.6.0	Apache-2.0 OR MIT	vendor/futures-lite-2.6.0/Cargo.toml
generic-array	0.14.7	MIT	vendor/generic-array-0.14.7/Cargo.toml
getrandom	0.4.3	MIT OR Apache-2.0	vendor/getrandom-0.4.3/Cargo.toml
glob	0.3.4	MIT OR Apache-2.0	vendor/glob-0.3.4/Cargo.toml
harfrust	0.5.2	MIT	vendor/harfrust-0.5.2/Cargo.toml
hashbrown	0.17.1	MIT OR Apache-2.0	vendor/hashbrown-0.17.1/Cargo.toml
heck	0.5.0	MIT OR Apache-2.0	vendor/heck-0.5.0/Cargo.toml
hermit-abi	0.5.3	MIT OR Apache-2.0	vendor/hermit-abi-0.5.3/Cargo.toml
hex	0.4.3	MIT OR Apache-2.0	vendor/hex-0.4.3/Cargo.toml
indexmap	2.14.0	Apache-2.0 OR MIT	vendor/indexmap-2.14.0/Cargo.toml
is_terminal_polyfill	1.70.2	MIT OR Apache-2.0	vendor/is_terminal_polyfill-1.70.2/Cargo.toml
itoa	1.0.18	MIT OR Apache-2.0	vendor/itoa-1.0.18/Cargo.toml
jiff	0.2.10	Unlicense OR MIT	vendor/jiff-0.2.10/Cargo.toml
jiff-static	0.2.10	Unlicense OR MIT	vendor/jiff-static-0.2.10/Cargo.toml
jiff-tzdb	0.1.4	Unlicense OR MIT	vendor/jiff-tzdb-0.1.4/Cargo.toml
jiff-tzdb-platform	0.1.3	Unlicense OR MIT	vendor/jiff-tzdb-platform-0.1.3/Cargo.toml
lazy_static	1.5.0	MIT OR Apache-2.0	vendor/lazy_static-1.5.0/Cargo.toml
libc	0.2.189	MIT OR Apache-2.0	vendor/libc-0.2.189/Cargo.toml
libm	0.2.16	MIT	vendor/libm-0.2.16/Cargo.toml
linebender_resource_handle	0.1.1	Apache-2.0 OR MIT	vendor/linebender_resource_handle-0.1.1/Cargo.toml
linux-raw-sys	0.12.1	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	vendor/linux-raw-sys-0.12.1/Cargo.toml
linux-raw-sys	0.4.15	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	vendor/linux-raw-sys-0.4.15/Cargo.toml
log	0.4.34	MIT OR Apache-2.0	vendor/log-0.4.34/Cargo.toml
matchers	0.2.0	MIT	vendor/matchers-0.2.0/Cargo.toml
memchr	2.8.3	Unlicense OR MIT	vendor/memchr-2.8.3/Cargo.toml
memmap2	0.9.11	MIT OR Apache-2.0	vendor/memmap2-0.9.11/Cargo.toml
memoffset	0.9.1	MIT	vendor/memoffset-0.9.1/Cargo.toml
miniz_oxide	0.8.9	MIT OR Zlib OR Apache-2.0	vendor/miniz_oxide-0.8.9/Cargo.toml
miniz_oxide	0.9.1	MIT OR Zlib OR Apache-2.0	vendor/miniz_oxide-0.9.1/Cargo.toml
nix	0.29.0	MIT	vendor/nix-0.29.0/Cargo.toml
nu-ansi-term	0.50.3	MIT	vendor/nu-ansi-term-0.50.3/Cargo.toml
once_cell	1.21.4	MIT OR Apache-2.0	vendor/once_cell-1.21.4/Cargo.toml
once_cell_polyfill	1.70.1	MIT OR Apache-2.0	vendor/once_cell_polyfill-1.70.1/Cargo.toml
ordered-stream	0.2.0	MIT OR Apache-2.0	vendor/ordered-stream-0.2.0/Cargo.toml
parking	2.2.1	Apache-2.0 OR MIT	vendor/parking-2.2.1/Cargo.toml
pin-project-lite	0.2.17	Apache-2.0 OR MIT	vendor/pin-project-lite-0.2.17/Cargo.toml
piper	0.2.4	MIT OR Apache-2.0	vendor/piper-0.2.4/Cargo.toml
pkg-config	0.3.34	MIT OR Apache-2.0	vendor/pkg-config-0.3.34/Cargo.toml
png	0.18.1	MIT OR Apache-2.0	vendor/png-0.18.1/Cargo.toml
polling	3.11.0	Apache-2.0 OR MIT	vendor/polling-3.11.0/Cargo.toml
portable-atomic	1.11.0	Apache-2.0 OR MIT	vendor/portable-atomic-1.11.0/Cargo.toml
portable-atomic-util	0.2.4	Apache-2.0 OR MIT	vendor/portable-atomic-util-0.2.4/Cargo.toml
proc-macro-crate	3.3.0	MIT OR Apache-2.0	vendor/proc-macro-crate-3.3.0/Cargo.toml
proc-macro2	1.0.107	MIT OR Apache-2.0	vendor/proc-macro2-1.0.107/Cargo.toml
quick-xml	0.41.0	MIT	vendor/quick-xml-0.41.0/Cargo.toml
quote	1.0.47	MIT OR Apache-2.0	vendor/quote-1.0.47/Cargo.toml
r-efi	6.0.0	MIT OR Apache-2.0 OR LGPL-2.1-or-later	vendor/r-efi-6.0.0/Cargo.toml
rangemap	1.8.0	MIT/Apache-2.0	vendor/rangemap-1.8.0/Cargo.toml
read-fonts	0.37.0	MIT OR Apache-2.0	vendor/read-fonts-0.37.0/Cargo.toml
read-fonts	0.41.0	MIT OR Apache-2.0	vendor/read-fonts-0.41.0/Cargo.toml
regex-automata	0.4.18	MIT OR Apache-2.0	vendor/regex-automata-0.4.18/Cargo.toml
regex-syntax	0.8.11	MIT OR Apache-2.0	vendor/regex-syntax-0.8.11/Cargo.toml
roxmltree	0.20.0	MIT OR Apache-2.0	vendor/roxmltree-0.20.0/Cargo.toml
rustc-hash	2.1.3	Apache-2.0 OR MIT	vendor/rustc-hash-2.1.3/Cargo.toml
